name,nickname,email,password,phone_number
test1,test1,test1@gmail.com,!@QWer123456,01012341231
test2,test2,test2@gmail.com,!@QWer123456,01012341232
test3,test3,test3@gmail.com,!@QWer123456,01012341233
test4,test4,test4@gmail.com,!@QWer123456,01012341234
test5,test5,test5@gmail.com,!@QWer123456,01012341235
test6,test6,test6@gmail.com,!@QWer123456,01012341236
test7,test7,test7@gmail.com,!@QWer123456,01012341237
test8,test8,test8@gmail.com,!@QWer123456,01012341238
test9,test9,test9@gmail.com,!@QWer123456,01012341239
test10,test10,test10@gmail.com,!@QWer123456,01012341240
